Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
closeBrowser,Chrome 69.0.3497.100,,2018-10-11 18:19:01,2018-10-11 18:19:02,0.731s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_06_Verify that clicking on confirmation link will redirect ro confirm-user page with the correct email showed,Chrome 69.0.3497.100,To test the confirmation-link redirects to User-confirm page,2018-10-11 18:19:02,2018-10-11 18:19:31,28.526s,FAILED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,,2018-10-11 18:19:02,2018-10-11 18:19:08,5.675s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,,2018-10-11 18:19:08,2018-10-11 18:19:14,6.098s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,,2018-10-11 18:19:14,2018-10-11 18:19:20,5.731s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-11 18:19:20,2018-10-11 18:19:31,10.792s,FAILED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_07_Verify that submitting confirm account with empty first name,Chrome 69.0.3497.100,Leave empty first name field to test error message,2018-10-11 18:19:31,2018-10-11 18:19:49,18.439s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,,2018-10-11 18:19:31,2018-10-11 18:19:37,6.511s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,,2018-10-11 18:19:37,2018-10-11 18:19:42,4.679s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,,2018-10-11 18:19:42,2018-10-11 18:19:48,5.494s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-11 18:19:48,2018-10-11 18:19:48,0.041s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 18:19:48,2018-10-11 18:19:48,0.714s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-11 18:19:48,2018-10-11 18:19:48,0.039s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-11 18:19:48,2018-10-11 18:19:49,0.758s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_08_Verify that submitting confirm account with empty last name,Chrome 69.0.3497.100,Leave empty last name field to test error message,2018-10-11 18:19:49,2018-10-11 18:20:08,19.180s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,,2018-10-11 18:19:49,2018-10-11 18:19:55,5.730s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,,2018-10-11 18:19:55,2018-10-11 18:20:00,4.660s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,,2018-10-11 18:20:00,2018-10-11 18:20:07,7.048s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-11 18:20:07,2018-10-11 18:20:07,0.029s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 18:20:07,2018-10-11 18:20:07,0.170s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 18:20:07,2018-10-11 18:20:08,0.516s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-11 18:20:08,2018-10-11 18:20:08,0.029s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-11 18:20:08,2018-10-11 18:20:08,0.760s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_09_Verify that submitting confirm account with empty password,Chrome 69.0.3497.100,Leave empty password field to test error message,2018-10-11 18:20:08,2018-10-11 18:20:27,18.630s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,,2018-10-11 18:20:09,2018-10-11 18:20:14,5.705s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,,2018-10-11 18:20:14,2018-10-11 18:20:19,4.759s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,,2018-10-11 18:20:19,2018-10-11 18:20:25,6.007s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-11 18:20:25,2018-10-11 18:20:25,0.045s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 18:20:25,2018-10-11 18:20:25,0.196s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 18:20:25,2018-10-11 18:20:25,0.171s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 18:20:25,2018-10-11 18:20:26,0.719s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-11 18:20:26,2018-10-11 18:20:26,0.038s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-11 18:20:26,2018-10-11 18:20:27,0.780s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_10_Verify that submitting confirm account with password lessthan 8 characters,Chrome 69.0.3497.100,Input password less than 8 digits to test error message,2018-10-11 18:20:27,2018-10-11 18:20:47,20.239s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,,2018-10-11 18:20:27,2018-10-11 18:20:35,7.925s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,,2018-10-11 18:20:35,2018-10-11 18:20:40,4.720s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,,2018-10-11 18:20:40,2018-10-11 18:20:45,5.323s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-11 18:20:45,2018-10-11 18:20:45,0.034s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 18:20:45,2018-10-11 18:20:45,0.208s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 18:20:45,2018-10-11 18:20:46,0.167s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 18:20:46,2018-10-11 18:20:46,0.138s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 18:20:46,2018-10-11 18:20:46,0.687s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-11 18:20:46,2018-10-11 18:20:46,0.032s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-11 18:20:46,2018-10-11 18:20:47,0.793s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_11_Verify that submitting confirm account with password no alphabet character,Chrome 69.0.3497.100,,2018-10-11 18:20:47,2018-10-11 18:21:08,20.765s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,,2018-10-11 18:20:47,2018-10-11 18:20:53,5.641s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,,2018-10-11 18:20:53,2018-10-11 18:21:00,7.255s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,,2018-10-11 18:21:00,2018-10-11 18:21:06,5.379s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-11 18:21:06,2018-10-11 18:21:06,0.040s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 18:21:06,2018-10-11 18:21:06,0.206s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 18:21:06,2018-10-11 18:21:06,0.179s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 18:21:06,2018-10-11 18:21:06,0.232s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 18:21:06,2018-10-11 18:21:07,0.850s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-11 18:21:07,2018-10-11 18:21:07,0.032s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-11 18:21:07,2018-10-11 18:21:08,0.776s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_12_Verify that submitting confirm account with invalid confirm-password,Chrome 69.0.3497.100,,2018-10-11 18:21:08,2018-10-11 18:21:27,19.416s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,,2018-10-11 18:21:08,2018-10-11 18:21:14,5.691s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,,2018-10-11 18:21:14,2018-10-11 18:21:20,6.269s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,,2018-10-11 18:21:20,2018-10-11 18:21:25,5.244s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-11 18:21:25,2018-10-11 18:21:25,0.039s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 18:21:25,2018-10-11 18:21:26,0.198s,PASSED
